year,locality_id,pland_00_water,pland_01_evergreen_needleleaf,pland_03_deciduous_needleleaf,pland_04_deciduous_broadleaf,pland_05_mixed_forest,pland_08_woody_savanna,pland_09_savanna,pland_10_grassland,pland_11_wetland,pland_12_cropland,pland_13_urban,pland_14_mosiac,pland_15_barren
2010,L298330,0.03225806451612903,0,0,0,0,0,0.06451612903225806,0.1935483870967742,0.4838709677419355,0.22580645161290322,0,0,0
2010,L940604,0.03333333333333333,0,0,0,0,0,0,0.03333333333333333,0.9,0.03333333333333333,0,0,0
2010,L1772722,0.16666666666666666,0,0,0,0,0,0.43333333333333335,0.03333333333333333,0.16666666666666666,0,0.2,0,0
2010,L152740,0.23333333333333334,0,0,0,0,0,0.03333333333333333,0,0.03333333333333333,0,0.7,0,0
2010,L752627,0.03225806451612903,0,0,0,0,0,0,0.12903225806451613,0.03225806451612903,0.7419354838709677,0.06451612903225806,0,0
2010,L453174,0.2,0,0,0,0,0,0,0.4666666666666667,0.03333333333333333,0.3,0,0,0
2010,L940607,0.15625,0,0,0,0,0,0,0.0625,0.59375,0.1875,0,0,0
2010,L936222,0.1935483870967742,0,0,0,0,0,0,0.41935483870967744,0.1935483870967742,0.1935483870967742,0,0,0
2010,L675330,0.3125,0,0,0,0,0,0,0,0.0625,0,0.625,0,0
2010,L1772772,0.2,0,0,0,0,0,0,0,0.1,0,0.7,0,0
2010,L925916,0.16129032258064516,0,0,0,0,0,0.03225806451612903,0.16129032258064516,0.41935483870967744,0.12903225806451613,0.0967741935483871,0,0
2010,L1772775,0.23333333333333334,0,0,0,0,0,0,0,0.1,0,0.6666666666666666,0,0
2010,L1080506,0.41935483870967744,0,0,0,0,0,0,0,0,0,0.5483870967741935,0,0.03225806451612903
2010,L269113,0.16129032258064516,0,0,0,0,0,0,0.03225806451612903,0.7419354838709677,0.06451612903225806,0,0,0
2010,L438527,0.26666666666666666,0,0,0,0,0,0,0,0.13333333333333333,0,0.6,0,0
2010,L940606,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
2010,L697692,0.06451612903225806,0,0,0,0,0.03225806451612903,0.41935483870967744,0.06451612903225806,0.25806451612903225,0.0967741935483871,0,0.06451612903225806,0
2010,L870163,0.1,0,0,0,0,0,0.6333333333333333,0,0.03333333333333333,0.2,0,0.03333333333333333,0
2010,L2340416,0.25,0,0,0,0,0,0.0625,0,0.125,0,0.5625,0,0
2010,L1772773,0.12903225806451613,0,0,0,0,0,0,0,0.0967741935483871,0,0.7741935483870968,0,0
2010,L714333,0.03225806451612903,0,0,0,0,0,0.16129032258064516,0,0.22580645161290322,0.06451612903225806,0.5161290322580645,0,0
2010,L169447,0.03225806451612903,0,0,0,0,0,0.03225806451612903,0.12903225806451613,0.5161290322580645,0.0967741935483871,0.06451612903225806,0,0.12903225806451613
2010,L946120,0.28125,0,0,0,0,0,0.03125,0.15625,0.28125,0.25,0,0,0
2010,L934046,0.09375,0,0,0,0,0,0,0.46875,0.15625,0.28125,0,0,0
2010,L589799,0.16129032258064516,0,0,0.1935483870967742,0,0.03225806451612903,0.2903225806451613,0.06451612903225806,0.25806451612903225,0,0,0,0
2010,L680982,0.1935483870967742,0,0,0,0,0,0.22580645161290322,0,0.25806451612903225,0.2903225806451613,0,0.03225806451612903,0
2010,L1819116,0.21875,0,0,0,0,0,0.0625,0.0625,0.09375,0.09375,0.40625,0,0.0625
2010,L3176152,0.0967741935483871,0,0,0,0,0,0.3870967741935484,0.0967741935483871,0.0967741935483871,0.06451612903225806,0.22580645161290322,0,0.03225806451612903
2010,L454170,0.26666666666666666,0,0,0,0,0,0,0,0.13333333333333333,0,0.6,0,0
2010,L342097,0.28125,0,0,0,0,0.03125,0,0.15625,0.15625,0.375,0,0,0
2010,L241648,0.6451612903225806,0,0,0,0,0,0,0.1935483870967742,0.0967741935483871,0,0,0,0.06451612903225806
2010,L1772723,0.1,0,0,0,0,0,0.4666666666666667,0.03333333333333333,0.13333333333333333,0,0.26666666666666666,0,0
2010,L318630,0.03225806451612903,0,0,0,0,0.06451612903225806,0.5161290322580645,0.03225806451612903,0.16129032258064516,0.06451612903225806,0,0.12903225806451613,0
2010,L152687,0.3,0,0,0,0,0,0,0,0.06666666666666667,0,0.6333333333333333,0,0
2010,L3992354,0.3548387096774194,0,0,0,0,0,0,0,0.0967741935483871,0,0.5483870967741935,0,0
2010,L213003,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,L924825,0.06666666666666667,0,0,0,0,0,0.3333333333333333,0,0.2,0.1,0.06666666666666667,0.23333333333333334,0
2010,L914873,0.03125,0,0,0,0,0,0,0.09375,0.21875,0.65625,0,0,0
2010,L211111,0.1875,0,0,0,0,0,0,0.0625,0.46875,0.28125,0,0,0
2010,L317582,0.2413793103448276,0,0,0.034482758620689655,0,0,0,0,0.7241379310344828,0,0,0,0
2010,L933539,0.03333333333333333,0,0,0,0,0,0,0.16666666666666666,0.36666666666666664,0.43333333333333335,0,0,0
2010,L934804,0.3,0,0,0,0,0,0.06666666666666667,0.06666666666666667,0.2,0.3333333333333333,0.03333333333333333,0,0
2010,L934831,0.2903225806451613,0,0,0,0,0,0.3225806451612903,0,0.1935483870967742,0.1935483870967742,0,0,0
2010,L4064447,0.09375,0,0,0,0,0,0,0.15625,0.25,0.375,0.125,0,0
2010,L468910,0.43333333333333335,0,0,0,0,0,0.03333333333333333,0.03333333333333333,0.1,0,0.4,0,0
2010,L152654,0.4,0,0,0,0,0,0.26666666666666666,0,0.13333333333333333,0,0.2,0,0
2010,L152761,0.3103448275862069,0,0,0,0,0,0.41379310344827586,0,0.1724137931034483,0,0.06896551724137931,0.034482758620689655,0
2011,L152692,0.36666666666666664,0,0,0,0,0,0,0,0.13333333333333333,0,0.5,0,0
2011,L752627,0.03225806451612903,0,0,0,0,0,0,0.12903225806451613,0.03225806451612903,0.7419354838709677,0.06451612903225806,0,0
2011,L949193,0.4,0,0,0,0,0,0,0.06666666666666667,0.13333333333333333,0,0.4,0,0
2011,L10021985,0.12903225806451613,0,0,0,0,0,0,0.41935483870967744,0.06451612903225806,0.3870967741935484,0,0,0
2011,L481136,0.03333333333333333,0,0,0,0,0,0.13333333333333333,0.5,0.06666666666666667,0.23333333333333334,0,0.03333333333333333,0
2011,L152740,0.23333333333333334,0,0,0,0,0,0.03333333333333333,0,0.03333333333333333,0,0.7,0,0
2011,L1254076,0.06666666666666667,0,0,0,0,0,0,0,0.13333333333333333,0,0.8,0,0
2011,L10021933,0.13333333333333333,0,0,0,0,0,0.03333333333333333,0.3,0.06666666666666667,0.4666666666666667,0,0,0
