year,locality_id,pland_00_water,pland_03_deciduous_needleleaf,pland_04_deciduous_broadleaf,pland_05_mixed_forest,pland_08_woody_savanna,pland_09_savanna,pland_10_grassland,pland_11_wetland,pland_12_cropland,pland_13_urban,pland_14_mosiac,pland_15_barren,id,elevation_median,elevation_sd
2010,L152740,0.23333333333333334,0,0,0,0,0.03333333333333333,0,0.03333333333333333,0,0.7,0,0,9,180.98258514404296,3.847833589862149
2010,L3176152,0.0967741935483871,0,0,0,0,0.3870967741935484,0.0967741935483871,0.0967741935483871,0.06451612903225806,0.22580645161290322,0,0.03225806451612903,14,234.32782676003197,7.227790697430405
2010,L454170,0.26666666666666666,0,0,0,0,0,0,0.13333333333333333,0,0.6,0,0,16,182.8837448120117,7.273970501702043
2010,L1772773,0.12903225806451613,0,0,0,0,0,0,0.0967741935483871,0,0.7741935483870968,0,0,22,203.49483489990234,14.574600016794468
2010,L1772722,0.16666666666666666,0,0,0,0,0.43333333333333335,0.03333333333333333,0.16666666666666666,0,0.2,0,0,32,184.28209601508246,9.035229976621892
2010,L752627,0.03225806451612903,0,0,0,0,0,0.12903225806451613,0.03225806451612903,0.7419354838709677,0.06451612903225806,0,0,75,212.7368445763221,3.488620762881228
2010,L2340416,0.25,0,0,0,0,0.0625,0,0.125,0,0.5625,0,0,98,179.4312286376953,4.485219992219965
2010,L1772772,0.2,0,0,0,0,0,0,0.1,0,0.7,0,0,101,197.5092798868815,16.96098249681701
2010,L1772723,0.1,0,0,0,0,0.4666666666666667,0.03333333333333333,0.13333333333333333,0,0.26666666666666666,0,0,126,185.8675338745117,9.884377316382881
2010,L152687,0.3,0,0,0,0,0,0,0.06666666666666667,0,0.6333333333333333,0,0,399,181.03285853068033,6.127047114578487
2010,L438527,0.26666666666666666,0,0,0,0,0,0,0.13333333333333333,0,0.6,0,0,440,196.24594455295139,16.061153024807602
2010,L342097,0.28125,0,0,0,0.03125,0,0.15625,0.15625,0.375,0,0,0,448,143.51548385620117,16.75405375393894
2010,L152654,0.4,0,0,0,0,0.26666666666666666,0,0.13333333333333333,0,0.2,0,0,723,182.15293884277344,9.088484854895366
2011,L950064,0.3125,0,0,0,0,0,0,0.03125,0,0.65625,0,0,495,181.0519280066857,3.926338237539591
2011,L1185168,0.26666666666666666,0,0,0,0,0.03333333333333333,0.03333333333333333,0.13333333333333333,0,0.5333333333333333,0,0,498,179.15871637517756,4.598765866831341
2011,L1772652,0.06451612903225806,0,0,0,0,0.25806451612903225,0.22580645161290322,0.06451612903225806,0.06451612903225806,0.2903225806451613,0,0.03225806451612903,518,236.51375495062933,7.1228662765332365
2011,L454170,0.26666666666666666,0,0,0,0,0,0,0.13333333333333333,0,0.6,0,0,16,182.8837448120117,7.273970501702043
2011,L10021920,0.0625,0,0,0,0,0.03125,0.25,0.0625,0.59375,0,0,0,539,159.2996612548828,2.5091534769360124
2011,L10021907,0.12903225806451613,0,0,0,0,0,0.3225806451612903,0.1935483870967742,0.3548387096774194,0,0,0,546,155.8031017596905,2.0461103820655597
2011,L265942,0.16666666666666666,0,0,0,0,0.03333333333333333,0,0.06666666666666667,0,0.7333333333333333,0,0,575,180.88199087289664,3.6834797319444115
2011,L152687,0.3,0,0,0,0,0,0,0.06666666666666667,0,0.6333333333333333,0,0,399,181.03285853068033,6.127047114578487
2011,L152740,0.23333333333333334,0,0,0,0,0.03333333333333333,0,0.03333333333333333,0,0.7,0,0,9,180.98258514404296,3.847833589862149
2011,L3176152,0.0967741935483871,0,0,0,0,0.3870967741935484,0.12903225806451613,0.0967741935483871,0.03225806451612903,0.22580645161290322,0,0.03225806451612903,14,234.32782676003197,7.227790697430405
2011,L1772667,0.034482758620689655,0,0,0,0,0.3793103448275862,0.13793103448275862,0.10344827586206896,0.034482758620689655,0.27586206896551724,0,0.034482758620689655,614,235.26060943603517,6.885575876722536
2011,L918030,0.23333333333333334,0,0.03333333333333333,0,0,0,0.2,0.16666666666666666,0.36666666666666664,0,0,0,624,179.95897827148437,2.8402841213873002
2011,L2340416,0.25,0,0,0,0,0.03125,0.03125,0.125,0,0.5625,0,0,98,179.4312286376953,4.485219992219965
2011,L1158916,0.034482758620689655,0,0,0,0,0,0.10344827586206896,0.10344827586206896,0.20689655172413793,0.5517241379310345,0,0,650,155.37150065104166,20.377424902092375
2011,L10021941,0.1875,0,0,0,0,0.03125,0.28125,0.125,0.375,0,0,0,674,156.52111138237848,2.1650364203902477
2011,L1215949,0.15625,0,0,0,0,0.28125,0.0625,0.125,0,0.375,0,0,682,183.84585571289062,9.38141766130129
2011,L1772890,0.13333333333333333,0,0,0,0,0.26666666666666666,0.1,0.23333333333333334,0,0.26666666666666666,0,0,718,232.07911071777343,8.495563727663514
2011,L152654,0.4,0,0,0,0,0.23333333333333334,0.03333333333333333,0.13333333333333333,0,0.2,0,0,723,182.15293884277344,9.088484854895366
2011,L10021933,0.13333333333333333,0,0,0,0,0.03333333333333333,0.3,0.06666666666666667,0.4666666666666667,0,0,0,848,157.65921529134116,2.746788154892529
2012,L2340416,0.25,0,0,0,0,0.03125,0.03125,0.125,0,0.5625,0,0,98,179.4312286376953,4.485219992219965
2012,L152654,0.4,0,0,0,0,0.2,0.03333333333333333,0.16666666666666666,0,0.2,0,0,723,182.15293884277344,9.088484854895366
2012,L1496585,0.2903225806451613,0,0,0,0,0,0,0.06451612903225806,0,0.6451612903225806,0,0,862,194.39435785466975,16.761570655060943
2012,L1772773,0.12903225806451613,0,0,0,0,0,0,0.0967741935483871,0,0.7741935483870968,0,0,22,203.49483489990234,14.574600016794468
2012,L1772772,0.2,0,0,0,0,0,0,0.1,0,0.7,0,0,101,197.5092798868815,16.96098249681701
2012,L356690,0.13333333333333333,0,0,0,0,0,0.43333333333333335,0.06666666666666667,0.36666666666666664,0,0,0,889,156.66370137532553,1.8973378966545913
2012,L1406532,0.03333333333333333,0,0,0,0,0,0.16666666666666666,0.43333333333333335,0.36666666666666664,0,0,0,890,172.37369745427912,3.2139360985564265
2012,L1496600,0.2903225806451613,0,0,0,0,0,0,0.12903225806451613,0,0.5806451612903226,0,0,912,192.41061706542968,15.509085604706286
2012,L164830,0.06666666666666667,0,0,0,0,0,0.1,0.3,0.4666666666666667,0.06666666666666667,0,0,926,175.65631866455078,3.1719175216865807
2012,L1571588,0.22580645161290322,0,0,0,0,0.1935483870967742,0.06451612903225806,0.1935483870967742,0,0.3225806451612903,0,0,932,183.84585571289062,9.38141766130129
2012,L1496613,0.3225806451612903,0,0,0,0,0,0,0.06451612903225806,0,0.6129032258064516,0,0,934,196.30997009277343,16.3498208658247
2012,L1249285,0.1875,0,0,0,0,0,0,0.0625,0,0.75,0,0,941,198.67774454752603,15.41621610889367
2012,L1496620,0.27586206896551724,0,0,0,0,0,0,0.06896551724137931,0,0.6551724137931034,0,0,942,198.67774454752603,15.41621610889367
2012,L752627,0.03225806451612903,0,0,0,0,0,0.12903225806451613,0.03225806451612903,0.7419354838709677,0.06451612903225806,0,0,75,212.7368445763221,3.488620762881228
2012,L3176152,0.0967741935483871,0,0,0,0,0.3870967741935484,0.12903225806451613,0.0967741935483871,0.03225806451612903,0.22580645161290322,0,0.03225806451612903,14,234.32782676003197,7.227790697430405
2012,L1772723,0.1,0,0,0,0,0.43333333333333335,0.03333333333333333,0.13333333333333333,0,0.26666666666666666,0.03333333333333333,0,126,185.8675338745117,9.884377316382881
2012,L152719,0.15625,0,0,0,0,0.40625,0.03125,0.15625,0,0.21875,0.03125,0,975,184.28209601508246,9.035229976621892
2012,L152645,0.06666666666666667,0,0,0,0,0.5,0.06666666666666667,0.1,0,0.26666666666666666,0,0,984,234.58779525756836,6.429197731335809
2012,L265942,0.16666666666666666,0,0,0,0,0.03333333333333333,0,0.06666666666666667,0,0.7333333333333333,0,0,575,180.88199087289664,3.6834797319444115
2012,L689281,0.26666666666666666,0,0,0,0,0,0,0.1,0,0.6333333333333333,0,0,1015,182.85758845011392,6.7709109129065705
2012,L650356,0.03225806451612903,0,0,0,0,0,0.06451612903225806,0.3225806451612903,0.5161290322580645,0.06451612903225806,0,0,1016,176.2960662841797,3.1642432242295127
2012,L1250089,0.3333333333333333,0,0,0,0,0,0,0.06666666666666667,0,0.6,0,0,1021,193.26005096435546,16.396279827684914
2012,L152740,0.23333333333333334,0,0,0,0,0.03333333333333333,0,0.03333333333333333,0,0.7,0,0,9,180.98258514404296,3.847833589862149
2012,L1321948,0.25,0,0,0,0,0.03125,0.03125,0.125,0,0.5625,0,0,1082,179.4312286376953,4.485219992219965
